<start> <duration> <pitch> <velocity> <instrument>
15499 164 36 110 2337
15666 163 40 110 2337
15666 163 64 110 29
15666 163 59 110 2337
15666 278 28 110 545
15666 163 62 110 284
15833 80 40 110 2337
15833 163 67 110 29
15833 163 64 110 284
15916 80 40 110 2337
15999 164 40 110 2337
15999 2584 69 110 29
15999 164 57 110 2337
15999 445 33 110 545
15999 164 57 110 284
16166 163 64 110 284
16166 163 36 110 2337
16333 163 62 110 284
16333 163 36 110 2337
16333 163 59 110 2337
16499 445 33 110 545
16499 164 40 110 2337
16499 164 64 110 284
16666 163 36 110 2337
16666 163 67 110 284
16666 163 59 110 2337
16833 163 64 110 284
16833 163 36 110 2337
16999 164 40 110 2337
16999 278 33 110 545
16999 164 59 110 2337
16999 164 62 110 284
17166 163 64 110 284
17166 163 36 110 2337
17333 163 40 110 2337
17333 444 33 110 545
17333 163 59 110 2337
17333 163 57 110 284
17499 164 64 110 284
17499 164 36 110 2337
17666 163 62 110 284
17666 163 36 110 2337
17666 163 59 110 2337
17833 444 33 110 545
17833 163 40 110 2337
17833 163 64 110 284
17999 164 36 110 2337
17999 164 67 110 284
17999 164 59 110 2337
18166 163 64 110 284
18166 163 36 110 2337
18333 163 40 110 2337
18333 278 33 110 545
18333 163 59 110 2337
18333 163 62 110 284
18499 164 64 110 284
18499 164 36 110 2337
18666 163 40 110 2337
18666 445 36 110 545
18666 163 59 110 2337
18666 163 60 110 284
18833 163 64 110 284
18833 163 36 110 2337
18999 164 62 110 284
18999 164 36 110 2337
18999 164 59 110 2337
19166 445 36 110 545
19166 163 40 110 2337
19166 163 64 110 284
19333 163 36 110 2337
19333 163 67 110 284
19333 163 59 110 2337
19499 164 64 110 284
19499 164 36 110 2337
19666 163 40 110 2337
19666 278 36 110 545
19666 163 59 110 2337
19666 163 62 110 284
19833 163 64 110 284
19833 163 36 110 2337
19999 164 40 110 2337
19999 445 28 110 545
19999 164 59 110 2337
19999 164 59 110 284
20166 163 64 110 284
