<start> <duration> <pitch> <velocity> <instrument>
65499 164 36 110 2337
65499 164 71 110 29
65499 164 60 110 284
65666 163 36 110 2337
65666 163 72 110 29
65666 163 59 110 2337
65666 163 59 110 284
65833 163 40 110 2337
65833 330 71 110 29
65833 444 31 110 545
65833 163 60 110 284
65999 164 36 110 2337
65999 164 64 110 284
65999 164 59 110 2337
66166 445 69 110 29
66166 163 36 110 2337
66166 163 60 110 284
66333 163 40 110 2337
66333 278 31 110 545
66333 163 59 110 2337
66333 163 59 110 284
66499 164 60 110 284
66499 164 36 110 2337
66666 163 40 110 2337
66666 278 64 110 29
66666 163 59 110 2337
66666 445 33 110 545
66666 163 57 110 284
66833 163 60 110 284
66833 163 36 110 2337
66999 164 36 110 2337
66999 2250 69 110 29
66999 164 59 110 2337
66999 164 59 110 284
67166 445 33 110 545
67166 163 40 110 2337
67166 163 60 110 284
67333 163 36 110 2337
67333 163 64 110 284
67333 163 59 110 2337
67499 164 60 110 284
67499 164 36 110 2337
67666 163 40 110 2337
67666 278 33 110 545
67666 163 59 110 2337
67666 163 59 110 284
67833 163 60 110 284
67833 163 36 110 2337
67999 164 40 110 2337
67999 445 33 110 545
67999 164 59 110 2337
67999 164 57 110 284
68166 163 60 110 284
68166 163 36 110 2337
68333 163 59 110 284
68333 163 36 110 2337
68333 163 59 110 2337
68499 445 33 110 545
68499 164 40 110 2337
68499 164 60 110 284
68666 163 36 110 2337
68666 163 64 110 284
68666 163 59 110 2337
68833 163 60 110 284
68833 163 36 110 2337
68999 164 40 110 2337
68999 164 33 110 545
68999 164 59 110 2337
68999 164 59 110 284
69166 80 40 110 2337
69166 163 31 110 545
69166 163 60 110 284
69249 80 40 110 2337
69333 163 40 110 2337
69333 163 72 110 29
69333 163 57 110 2337
69333 444 29 110 545
69333 163 57 110 284
69499 164 36 110 2337
69499 164 71 110 29
69499 164 60 110 284
69666 163 36 110 2337
69666 163 72 110 29
69666 163 59 110 2337
69666 163 59 110 284
69833 163 40 110 2337
69833 330 71 110 29
69833 444 29 110 545
69833 163 60 110 284
69999 164 36 110 2337
69999 164 64 110 284
69999 164 59 110 2337
70166 445 69 110 29
70166 163 36 110 2337
70166 163 60 110 284
70333 163 40 110 2337
70333 278 29 110 545
70333 163 59 110 2337
70333 163 59 110 284
70499 164 60 110 284
70499 164 36 110 2337
70666 163 40 110 2337
70666 163 72 110 29
70666 163 59 110 2337
70666 445 29 110 545
70666 163 57 110 284
70833 163 36 110 2337
70833 163 71 110 29
70833 163 60 110 284
70999 164 36 110 2337
70999 164 72 110 29
70999 164 59 110 2337
70999 164 59 110 284
71166 163 40 110 2337
71166 330 71 110 29
71166 445 31 110 545
71166 163 60 110 284
71333 163 36 110 2337
71333 163 64 110 284
71333 163 59 110 2337
71499 330 72 110 29
71499 164 36 110 2337
71499 164 60 110 284
71666 163 40 110 2337
71666 278 31 110 545
71666 163 59 110 2337
71666 163 59 110 284
71833 163 36 110 2337
71833 163 74 110 29
71833 163 60 110 284
71999 164 40 110 2337
71999 2584 76 110 29
71999 164 59 110 2337
71999 445 33 110 545
71999 164 57 110 284
72166 163 61 110 284
72166 163 36 110 2337
72333 163 59 110 284
72333 163 36 110 2337
72333 163 59 110 2337
72499 445 33 110 545
72499 164 40 110 2337
72499 164 61 110 284
72666 163 36 110 2337
72666 163 64 110 284
72666 163 59 110 2337
72833 163 61 110 284
72833 163 36 110 2337
72999 164 40 110 2337
72999 278 33 110 545
72999 164 59 110 2337
72999 164 59 110 284
73166 163 61 110 284
73166 163 36 110 2337
73333 163 40 110 2337
73333 444 33 110 545
73333 163 59 110 2337
73333 163 57 110 284
73499 164 61 110 284
73499 164 36 110 2337
73666 163 59 110 284
73666 163 36 110 2337
73666 163 59 110 2337
73833 444 33 110 545
73833 163 40 110 2337
73833 163 61 110 284
73999 164 36 110 2337
73999 164 64 110 284
73999 164 59 110 2337
74166 163 61 110 284
74166 163 36 110 2337
74333 163 40 110 2337
74333 278 33 110 545
74333 163 59 110 2337
74333 163 59 110 284
74499 164 61 110 284
74499 80 40 110 2337
74583 80 40 110 2337
74666 163 40 110 2337
74666 163 84 110 29
74666 163 57 110 2337
74666 445 29 110 545
74666 163 53 110 284
74833 163 36 110 2337
74833 163 81 110 29
74833 163 53 110 284
74999 164 36 110 2337
74999 164 77 110 29
74999 164 59 110 2337
74999 164 53 110 284
75166 163 40 110 2337
75166 163 72 110 29
75166 445 29 110 545
75166 163 53 110 284
75333 163 36 110 2337
75333 163 69 110 29
75333 163 59 110 2337
75333 163 53 110 284
75499 164 36 110 2337
75499 164 65 110 29
75499 164 53 110 284
75666 163 40 110 2337
75666 163 60 110 29
75666 163 59 110 2337
75666 278 29 110 545
75666 163 53 110 284
75833 163 36 110 2337
75833 163 57 110 29
75833 163 53 110 284
75999 164 40 110 2337
75999 164 86 110 29
75999 164 59 110 2337
75999 445 31 110 545
75999 164 55 110 284
76166 163 36 110 2337
76166 163 83 110 29
76166 163 55 110 284
76333 163 36 110 2337
76333 163 79 110 29
76333 163 59 110 2337
76333 163 55 110 284
76499 164 40 110 2337
76499 164 74 110 29
76499 445 31 110 545
76499 164 55 110 284
76666 163 36 110 2337
76666 163 71 110 29
76666 163 59 110 2337
76666 163 55 110 284
76833 163 36 110 2337
76833 163 67 110 29
76833 163 55 110 284
76999 164 40 110 2337
76999 164 62 110 29
76999 164 59 110 2337
76999 278 31 110 545
76999 164 55 110 284
77166 163 36 110 2337
77166 163 59 110 29
77166 163 55 110 284
77333 163 40 110 2337
77333 163 88 110 29
77333 163 59 110 2337
77333 444 33 110 545
77333 163 57 110 284
77499 164 36 110 2337
77499 164 85 110 29
77499 164 57 110 284
77666 163 36 110 2337
77666 163 81 110 29
77666 163 59 110 2337
77666 163 57 110 284
77833 163 40 110 2337
77833 163 76 110 29
77833 444 33 110 545
77833 163 57 110 284
77999 164 36 110 2337
77999 164 73 110 29
77999 164 59 110 2337
77999 164 57 110 284
78166 163 36 110 2337
78166 163 69 110 29
78166 163 57 110 284
78333 163 40 110 2337
78333 163 64 110 29
78333 163 59 110 2337
78333 278 33 110 545
78333 163 57 110 284
78499 164 36 110 2337
78499 164 61 110 29
78499 164 57 110 284
78666 163 40 110 2337
78666 163 57 110 29
78666 163 59 110 2337
78666 445 33 110 545
78666 163 57 110 284
78833 163 36 110 2337
78833 163 61 110 29
78833 163 57 110 284
78999 164 36 110 2337
78999 164 64 110 29
78999 164 59 110 2337
78999 164 57 110 284
79166 163 40 110 2337
79166 163 69 110 29
79166 445 33 110 545
79166 163 57 110 284
79333 163 36 110 2337
79333 163 73 110 29
79333 163 59 110 2337
79333 163 57 110 284
79499 164 36 110 2337
79499 164 76 110 29
79499 164 57 110 284
79666 163 40 110 2337
79666 163 81 110 29
79666 163 59 110 2337
79666 278 33 110 545
79666 163 57 110 284
79833 80 40 110 2337
79833 163 85 110 29
79833 163 57 110 284
79916 80 40 110 2337
79999 164 40 110 2337
79999 164 84 110 29
79999 164 57 110 2337
79999 445 29 110 545
79999 164 53 110 284
80166 163 36 110 2337
80166 163 81 110 29
80166 163 53 110 284
80333 163 36 110 2337
80333 163 77 110 29
80333 163 59 110 2337
80333 163 53 110 284
80499 164 40 110 2337
80499 164 72 110 29
80499 445 29 110 545
80499 164 53 110 284
80666 163 36 110 2337
80666 163 69 110 29
80666 163 59 110 2337
80666 163 53 110 284
80833 163 36 110 2337
80833 163 65 110 29
80833 163 53 110 284
80999 164 40 110 2337
80999 164 60 110 29
80999 164 59 110 2337
80999 278 29 110 545
80999 164 53 110 284
81166 163 36 110 2337
81166 163 57 110 29
81166 163 53 110 284
81333 163 40 110 2337
81333 163 86 110 29
81333 163 59 110 2337
81333 444 31 110 545
81333 163 55 110 284
81499 164 36 110 2337
81499 164 83 110 29
81499 164 55 110 284
81666 163 36 110 2337
81666 163 79 110 29
81666 163 59 110 2337
81666 163 55 110 284
81833 163 40 110 2337
81833 163 74 110 29
81833 444 31 110 545
81833 163 55 110 284
81999 164 36 110 2337
81999 164 71 110 29
81999 164 59 110 2337
81999 164 55 110 284
82166 163 36 110 2337
82166 163 67 110 29
82166 163 55 110 284
82333 163 40 110 2337
82333 163 62 110 29
82333 163 59 110 2337
82333 278 31 110 545
82333 163 55 110 284
82499 164 36 110 2337
82499 164 59 110 29
82499 164 55 110 284
82666 163 40 110 2337
82666 163 88 110 29
82666 163 59 110 2337
82666 445 33 110 545
82666 163 57 110 284
82833 163 36 110 2337
82833 163 85 110 29
82833 163 57 110 284
82999 164 36 110 2337
82999 164 81 110 29
82999 164 59 110 2337
82999 164 57 110 284
83166 163 40 110 2337
83166 163 76 110 29
83166 445 33 110 545
83166 163 57 110 284
83333 163 36 110 2337
83333 163 73 110 29
83333 163 59 110 2337
83333 163 57 110 284
83499 164 36 110 2337
83499 164 69 110 29
83499 164 57 110 284
83666 163 40 110 2337
83666 163 64 110 29
83666 163 59 110 2337
83666 278 33 110 545
83666 163 57 110 284
83833 163 36 110 2337
83833 163 61 110 29
83833 163 57 110 284
83999 164 40 110 2337
83999 164 57 110 29
83999 164 59 110 2337
83999 445 33 110 545
83999 164 57 110 284
84166 163 36 110 2337
84166 163 61 110 29
84166 163 57 110 284
84333 163 36 110 2337
84333 163 64 110 29
84333 163 59 110 2337
84333 163 57 110 284
84499 164 40 110 2337
84499 164 69 110 29
84499 445 33 110 545
84499 164 57 110 284
84666 163 36 110 2337
84666 163 73 110 29
84666 163 59 110 2337
84666 163 57 110 284
84833 163 36 110 2337
84833 163 76 110 29
84833 163 57 110 284
84999 164 40 110 2337
84999 164 81 110 29
84999 164 59 110 2337
84999 278 33 110 545
84999 164 57 110 284
85166 80 40 110 2337
85166 163 85 110 29
85166 163 57 110 284
85249 80 40 110 2337
85333 163 40 110 2337
85333 163 84 110 29
85333 163 57 110 2337
85333 444 29 110 545
85333 163 53 110 284
85499 164 36 110 2337
85499 164 81 110 29
85499 164 53 110 284
85666 163 36 110 2337
85666 163 77 110 29
85666 163 59 110 2337
85666 163 53 110 284
85833 163 40 110 2337
85833 163 72 110 29
85833 444 29 110 545
85833 163 53 110 284
85999 164 36 110 2337
85999 164 69 110 29
85999 164 59 110 2337
85999 164 53 110 284
86166 163 36 110 2337
86166 163 65 110 29
86166 163 53 110 284
86333 163 40 110 2337
86333 163 60 110 29
86333 163 59 110 2337
86333 278 29 110 545
86333 163 53 110 284
86499 164 36 110 2337
86499 164 57 110 29
86499 164 53 110 284
86666 163 40 110 2337
86666 163 86 110 29
86666 163 59 110 2337
86666 445 31 110 545
86666 163 55 110 284
86833 163 36 110 2337
86833 163 83 110 29
86833 163 55 110 284
86999 164 36 110 2337
86999 164 79 110 29
86999 164 59 110 2337
86999 164 55 110 284
87166 163 40 110 2337
87166 163 74 110 29
87166 445 31 110 545
87166 163 55 110 284
87333 163 36 110 2337
87333 163 71 110 29
87333 163 59 110 2337
87333 163 55 110 284
87499 164 36 110 2337
87499 164 67 110 29
87499 164 55 110 284
87666 163 40 110 2337
87666 163 62 110 29
87666 163 59 110 2337
87666 278 31 110 545
87666 163 55 110 284
87833 163 36 110 2337
87833 163 59 110 29
87833 163 55 110 284
87999 164 40 110 2337
87999 164 88 110 29
87999 164 59 110 2337
87999 445 33 110 545
87999 164 57 110 284
88166 163 36 110 2337
88166 163 85 110 29
88166 163 57 110 284
88333 163 36 110 2337
88333 163 81 110 29
88333 163 59 110 2337
88333 163 57 110 284
88499 164 40 110 2337
88499 164 76 110 29
88499 445 33 110 545
88499 164 57 110 284
88666 163 36 110 2337
88666 163 73 110 29
88666 163 59 110 2337
88666 163 57 110 284
88833 163 36 110 2337
88833 163 69 110 29
88833 163 57 110 284
88999 164 40 110 2337
88999 164 64 110 29
88999 164 59 110 2337
88999 278 33 110 545
88999 164 57 110 284
89166 163 36 110 2337
89166 163 61 110 29
89166 163 57 110 284
89333 163 40 110 2337
89333 163 57 110 29
89333 163 59 110 2337
89333 444 33 110 545
89333 163 57 110 284
89499 164 36 110 2337
89499 164 61 110 29
89499 164 57 110 284
89666 163 36 110 2337
89666 163 64 110 29
89666 163 59 110 2337
89666 163 57 110 284
89833 163 40 110 2337
89833 163 69 110 29
89833 444 33 110 545
89833 163 57 110 284
89999 164 36 110 2337
89999 164 73 110 29
89999 164 59 110 2337
89999 164 57 110 284
90166 163 36 110 2337
90166 163 76 110 29
90166 163 57 110 284
90333 163 40 110 2337
90333 163 81 110 29
90333 163 59 110 2337
90333 278 33 110 545
90333 163 57 110 284
90499 80 40 110 2337
90499 164 85 110 29
90499 164 57 110 284
90583 80 40 110 2337
90666 163 40 110 2337
90666 163 84 110 29
90666 163 57 110 2337
90666 445 29 110 545
90666 163 53 110 284
90833 163 36 110 2337
90833 163 81 110 29
90833 163 53 110 284
90999 164 36 110 2337
90999 164 77 110 29
90999 164 59 110 2337
90999 164 53 110 284
91166 163 40 110 2337
91166 163 72 110 29
91166 445 29 110 545
91166 163 53 110 284
91333 163 36 110 2337
91333 163 69 110 29
91333 163 59 110 2337
91333 163 53 110 284
91499 164 36 110 2337
91499 164 65 110 29
91499 164 53 110 284
91666 163 40 110 2337
91666 163 60 110 29
91666 163 59 110 2337
91666 278 29 110 545
91666 163 53 110 284
91833 163 36 110 2337
91833 163 57 110 29
91833 163 53 110 284
91999 164 40 110 2337
91999 164 86 110 29
91999 164 59 110 2337
91999 445 31 110 545
91999 164 55 110 284
92166 163 36 110 2337
92166 163 83 110 29
92166 163 55 110 284
92333 163 36 110 2337
92333 163 79 110 29
92333 163 59 110 2337
92333 163 55 110 284
92499 164 40 110 2337
92499 164 74 110 29
92499 445 31 110 545
92499 164 55 110 284
92666 163 36 110 2337
92666 163 71 110 29
92666 163 59 110 2337
92666 163 55 110 284
92833 163 36 110 2337
92833 163 67 110 29
92833 163 55 110 284
92999 164 40 110 2337
92999 164 62 110 29
92999 164 59 110 2337
92999 278 31 110 545
92999 164 55 110 284
93166 163 36 110 2337
93166 163 59 110 29
93166 163 55 110 284
93333 163 40 110 2337
93333 163 88 110 29
93333 163 59 110 2337
93333 444 33 110 545
93333 163 57 110 284
93499 164 36 110 2337
93499 164 85 110 29
93499 164 57 110 284
93666 163 36 110 2337
93666 163 81 110 29
93666 163 59 110 2337
93666 163 57 110 284
93833 163 40 110 2337
93833 163 76 110 29
93833 444 33 110 545
93833 163 57 110 284
93999 164 36 110 2337
93999 164 73 110 29
93999 164 59 110 2337
93999 164 57 110 284
94166 163 36 110 2337
94166 163 69 110 29
94166 163 57 110 284
94333 163 40 110 2337
94333 163 64 110 29
94333 163 59 110 2337
94333 278 33 110 545
94333 163 57 110 284
94499 164 36 110 2337
94499 164 61 110 29
94499 164 57 110 284
94666 163 40 110 2337
94666 163 57 110 29
94666 163 59 110 2337
94666 445 33 110 545
94666 163 57 110 284
94833 163 36 110 2337
94833 163 61 110 29
94833 163 57 110 284
94999 164 36 110 2337
94999 164 64 110 29
94999 164 59 110 2337
94999 164 57 110 284
95166 163 40 110 2337
95166 163 69 110 29
95166 445 33 110 545
95166 163 57 110 284
95333 163 36 110 2337
95333 163 73 110 29
95333 163 59 110 2337
95333 163 57 110 284
95499 164 36 110 2337
95499 164 76 110 29
95499 164 57 110 284
95666 163 40 110 2337
95666 163 81 110 29
95666 163 59 110 2337
95666 278 33 110 545
95666 163 57 110 284
95833 80 40 110 2337
95833 163 85 110 29
95833 163 57 110 284
95916 80 40 110 2337
